keep,listAt,landedCost,sitePrice,permitted,carriageKnown,photos,supplier,category,title,slug
913.42,4567,3584.52,4567,ASK SUPPLIER,NO,3,"Premier Housewares",shelving,"Lyon Washed Grey Oak Wood Large Bookcase With Ladder",lyon-washed-grey-oak-wood-large-bookcase-with-ladder
501.40,2506,1966.46,2745,ASK SUPPLIER,NO,8,"Premier Housewares",kitchen-furniture,"Saronno Grey Marble Dining Table",saronno-grey-marble-dining-table
424.52,2119,1662.14,2118,ASK SUPPLIER,NO,8,"Premier Housewares",sofas,"Troyes Cream Three Seat Right Chaise Sofa",troyes-cream-three-seat-right-chaise-sofa
424.52,2119,1662.14,2118,ASK SUPPLIER,NO,8,"Premier Housewares",sofas,"Troyes Cream Three Seat Left Chaise Sofa",troyes-cream-three-seat-left-chaise-sofa
424.52,2119,1662.14,2118,ASK SUPPLIER,NO,8,"Premier Housewares",sofas,"Troyes Grey Three Seat Right Chaise Sofa",troyes-grey-three-seat-right-chaise-sofa
424.52,2119,1662.14,2118,ASK SUPPLIER,NO,8,"Premier Housewares",sofas,"Troyes Grey Three Seat Left Chaise Sofa",troyes-grey-three-seat-left-chaise-sofa
404.68,2021,1585.45,2020,ASK SUPPLIER,NO,8,"Premier Housewares",living-room-storage,"Ulmus Black Elm Wood Sideboard",ulmus-black-elm-wood-sideboard
382.54,1909,1497.28,1908,ASK SUPPLIER,NO,8,"Premier Housewares",sofas,"Ordona Cream Linen 3 Seater Curved Sofa",ordona-cream-linen-3-seater-curved-sofa
374.93,1874,1470.41,1874,ASK SUPPLIER,NO,8,"Premier Housewares",sofas,"Anglet Cream Textured Fabric Large 3 Seater Sofa",anglet-cream-textured-fabric-large-3-seater-sofa
373.47,1866,1463.99,2328,yes,yes,5,"Hill Interiors",garden-furniture,"Provence Collection Outdoor 4 Seater Lounge Set",provence-collection-outdoor-4-seater-lounge-set
371.32,1853,1453.34,1852,ASK SUPPLIER,NO,8,"Premier Housewares",living-room-storage,"Kerala Natural Recycled Wood Sideboard",kerala-natural-recycled-wood-sideboard
351.95,1756,1377.16,1755,ASK SUPPLIER,NO,8,"Premier Housewares",living-room-storage,"Milan Grey Wash Recycled Elm Wood 4 Door Sideboard",milan-grey-wash-recycled-elm-wood-4-door-sideboard
