*Action(SiteID=UK|Country=GB|Currency=GBP|Version=1193),*Category,*Title,*Description,*ConditionID,PicURL,*Quantity,*Format,*StartPrice,*Duration,*Location,PostalCode,CustomLabel,Product:EAN,C:Brand,C:Colour,C:Material,C:Type,ShippingProfileName,ReturnProfileName,PaymentProfileName
Add,FILL-candles-and-lanterns,"Set Of Three Wooden Lanterns With Traditional Cross Section","<p>A set of three wooden lanterns in grey with a cross-section cut design, in graduated heights up to 84cm. The set weighs 9kg and takes pillar, tealight or LED candles.</p><ul><li>Dimensions: 31 x 31 x 84 cm</li><li>Material: Wood</li><li>Colour: Grey</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",1000,"https://cdn.sanity.io/images/huh1e45n/production/7c937941aa6b32fba29c77d32d90ad6c00f44299-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/f8250eb9da4941364243a2dacf6a687c2ff6f495-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/463db32f5c9eb4c0a26513b9a81ec1c09437af62-1500x1500.jpg",5,FixedPrice,154.00,GTC,Bourne End,SL8 5NF,"KK-CAND-THREE-GRY-001",5050140745991,"Kaiku","Grey","Wood","Candles And Lanterns",FILL-shipping-policy-name,FILL-return-policy-name,FILL-payment-policy-name
Add,FILL-candles-and-lanterns,"Set Of Three Wooden Lanterns With Archway Design","<p>A set of three wooden lanterns in grey with arched cut openings, in graduated heights up to 104cm. The set weighs 11.5kg and takes pillar or tealight candles.</p><ul><li>Dimensions: 31 x 31 x 104 cm</li><li>Material: Wood</li><li>Colour: Grey</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",1000,"https://cdn.sanity.io/images/huh1e45n/production/2da729742cc7692ef3e86d63f9e014d485e1f705-1600x1600.jpg|https://cdn.sanity.io/images/huh1e45n/production/a24ebc426d3546cc8fd84f4a5dafbf31f7260e57-1600x1600.jpg|https://cdn.sanity.io/images/huh1e45n/production/4270bf08cb87366c057af02cd4a05d1c670f105c-1600x1600.jpg|https://cdn.sanity.io/images/huh1e45n/production/24c1208b468c57faadce7abd5cb0ca0452097379-1600x1600.jpg|https://cdn.sanity.io/images/huh1e45n/production/92b0cacd0cb3d871b0d8e03ca7b095552d595de0-1600x1600.jpg|https://cdn.sanity.io/images/huh1e45n/production/173b8996ca2f51b17919741127aa7ba098dc6a27-1600x1600.jpg",5,FixedPrice,185.00,GTC,Bourne End,SL8 5NF,"KK-CAND-THREE-GRY-002",5050140746196,"Kaiku","Grey","Wood","Candles And Lanterns",FILL-shipping-policy-name,FILL-return-policy-name,FILL-payment-policy-name
Add,FILL-vases,"Medium Conran Vase","<p>A ceramic vase in blue, 22 x 22cm at the base and 38cm tall, weighing 3.85kg. For indoor use with fresh or dried flowers.</p><ul><li>Dimensions: 22 x 22 x 38 cm</li><li>Material: Ceramic</li><li>Colour: Blue</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",1000,"https://cdn.sanity.io/images/huh1e45n/production/07095e03a45b4357effb08b90a7212b585be2804-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/dca69bcd9ef45c664af66b9b38b4c8ccaab7578d-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/41f13b60ffe7dd71c22be01dc6a6e7b73722c028-1800x1800.jpg",1,FixedPrice,65.00,GTC,Bourne End,SL8 5NF,"KK-VASE-CONRAN-BLU-001",5050140818299,"Kaiku","Blue","Ceramic","Vases",FILL-shipping-policy-name,FILL-return-policy-name,FILL-payment-policy-name
Add,FILL-vases,"Aged Stone Ceramic Vase","<p>A ceramic vase with an aged stone-effect finish in a neutral tone, 29 x 29cm at the base and 30cm tall, weighing 7kg.</p><ul><li>Dimensions: 29 x 29 x 30 cm</li><li>Material: Ceramic</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",1000,"https://cdn.sanity.io/images/huh1e45n/production/ca0ccaff2d38f64bee2c1d1175466953e4c42cd7-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/e2ff6d4549435f81ea8fa9cd5fdaf5dc82e5f043-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/8fa8f349557140e4e9fe077cfd0e829033f8441f-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/df1ecc79a34fde7f2de39e7ad44fafa9fb8e5a9d-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/b962946937e5861a09a85cab9105bb6659fd62e6-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/17c6a02daf37fe9844be823daf4468e185730c64-1800x1800.jpg",5,FixedPrice,74.00,GTC,Bourne End,SL8 5NF,"KK-VASE-AGED-001",5050140941799,"Kaiku","","Ceramic","Vases",FILL-shipping-policy-name,FILL-return-policy-name,FILL-payment-policy-name
Add,FILL-vases,"Aged Stone Tall Ceramic Vase","<p>A tall ceramic vase with an aged stone-effect finish, 28 x 28cm at the base and 45cm tall, weighing 7.5kg. For indoor use with fresh or dried flowers.</p><ul><li>Dimensions: 28 x 28 x 45 cm</li><li>Material: Ceramic</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",1000,"https://cdn.sanity.io/images/huh1e45n/production/427a7e56f0f20b7377a4377719634343b5f51d36-1500x1500.jpg|https://cdn.sanity.io/images/huh1e45n/production/da07728ea3fbe0b1388da8392927be1127cda61f-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/bd0bfa2c543cbf039e4802cb8b999c029ba99bef-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/595aa9d939d71c7dcd2cf22992ae61b3f5da25da-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/65172da0fbaecaee8965ef8260ed7adfcf95655a-1800x1800.jpg",5,FixedPrice,92.00,GTC,Bourne End,SL8 5NF,"KK-VASE-AGED-002",5050140941898,"Kaiku","","Ceramic","Vases",FILL-shipping-policy-name,FILL-return-policy-name,FILL-payment-policy-name
Add,FILL-candles-and-lanterns,"Large Conical Ceramic Lattice Hurricane Lantern","<p>A ceramic hurricane lantern in bright white with a cut lattice pattern, 17 x 17cm at the base and 22cm tall, weighing 1.4kg.</p><ul><li>Dimensions: 17 x 17 x 22 cm</li><li>Material: Ceramic</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",1000,"https://cdn.sanity.io/images/huh1e45n/production/bf036ad95ea708c15a63d87e534e5267cb8698b5-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/17319d21bdc93026209c8739710fd88708d00bb6-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/5cdf4220c3c2ca99d8d4c8d00493ceda196adcea-1800x1800.jpg",5,FixedPrice,42.00,GTC,Bourne End,SL8 5NF,"KK-CAND-CONICAL-001",5050140942895,"Kaiku","","Ceramic","Candles And Lanterns",FILL-shipping-policy-name,FILL-return-policy-name,FILL-payment-policy-name
Add,FILL-candles-and-lanterns,"Round Ceramic Lattice Hurricane Lantern","<p>A ceramic hurricane lantern with a cut lattice pattern, 17 x 17cm at the base and 11cm tall, weighing 0.65kg.</p><ul><li>Dimensions: 17 x 17 x 11 cm</li><li>Material: Ceramic</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",1000,"https://cdn.sanity.io/images/huh1e45n/production/184e6670dd3e68047b5a4cf9dbae863c1a11c8d0-1500x1500.jpg|https://cdn.sanity.io/images/huh1e45n/production/552a61f2c45d2c3729bfc03e45577d15c8e8598b-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/2be49dc93366c54018d769e2814d245f215561a0-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/1df627427771fd5d38ef9a4ab509c921305b3437-1800x1800.jpg",1,FixedPrice,27.00,GTC,Bourne End,SL8 5NF,"KK-CAND-ROUND-001",5050140942994,"Kaiku","","Ceramic","Candles And Lanterns",FILL-shipping-policy-name,FILL-return-policy-name,FILL-payment-policy-name
Add,FILL-vases,"Downton Large Antique White Vase","<p>A large ceramic vase in an antique white finish, 39 x 39cm at the base and 41cm tall, weighing 7.95kg.</p><ul><li>Dimensions: 39 x 39 x 41 cm</li><li>Material: Ceramic</li><li>Colour: White</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",1000,"https://cdn.sanity.io/images/huh1e45n/production/22dbc4ed948f206ffdcc28fa3d2d601e561130d8-1800x1800.jpg|https://cdn.sanity.io/images/huh1e45n/production/bbbb4680484d17dffffc4eddfb7785b4b094fd79-1500x1500.jpg|https://cdn.sanity.io/images/huh1e45n/production/b748b35318595084e5fce5b1581bd960dd1a3ebc-1800x1800.jpg",5,FixedPrice,118.00,GTC,Bourne End,SL8 5NF,"KK-VASE-DOWNTON-001",5050140950197,"Kaiku","White","Ceramic","Vases",FILL-shipping-policy-name,FILL-return-policy-name,FILL-payment-policy-name
Add,FILL-vases,"Garda Glazed Gisela Vase","<p>A ceramic vase in white with a glossy glaze, 18 x 18cm at the base and 51cm tall, weighing 2.5kg.</p><ul><li>Dimensions: 18 x 18 x 51 cm</li><li>Material: Ceramic</li><li>Colour: White</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",1000,"https://cdn.sanity.io/images/huh1e45n/production/a127f7f1c08cf17723e6dd03e5606a4748ba75f5-1600x1600.jpg|https://cdn.sanity.io/images/huh1e45n/production/b8f4e69a560709d4ef6ab20d16b0736465ee0530-1600x1600.jpg|https://cdn.sanity.io/images/huh1e45n/production/510e1670b177d89dbe7c8a5b52e3c6d41028cb28-1600x1600.jpg",5,FixedPrice,65.00,GTC,Bourne End,SL8 5NF,"KK-VASE-GARDA-WHT-001",5050140078280,"Kaiku","White","Ceramic","Vases",FILL-shipping-policy-name,FILL-return-policy-name,FILL-payment-policy-name
Add,FILL-wall-art,"Tristan Mirror And Wood 4X6 Frame","<p>A mirror in a brown wood frame, 24cm wide, 29cm tall and 2cm deep, weighing 0.83kg. The smaller of the two Tristan sizes.</p><ul><li>Dimensions: 2 x 24 x 29 cm</li><li>Material: Mirrored glass, Wood</li><li>Colour: Brown</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",1000,"https://cdn.sanity.io/images/huh1e45n/production/abe154dd219b84a3334f0ca2456f136c9b0bd50c-1500x1500.jpg|https://cdn.sanity.io/images/huh1e45n/production/31ba6e79769781fbe13b25bd716a9ce2180c3f63-1500x1500.jpg",1,FixedPrice,31.00,GTC,Bourne End,SL8 5NF,"KK-MIR-TRISTAN-BRN-001",5050140083680,"Kaiku","Brown","Mirrored glass","Wall Art",FILL-shipping-policy-name,FILL-return-policy-name,FILL-payment-policy-name
