route,severity,published,supplier,product,finding,how
WRITING,minor,draft,"Hill Interiors","Glass Candle Holder","Filler phrases: effortlessly, perfect for, captivating, exquisite","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Glass Candle Holder","2 FAQs answer nothing (e.g. ""How long does it burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Glass Candle Holder","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Glass Candle Holder","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Set Of Three Wooden Lanterns With Traditional Cross Section","Filler phrases: seamlessly, perfect for, any space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Set Of Three Wooden Lanterns With Traditional Cross Section","5 FAQs answer nothing (e.g. ""How long does it burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Set Of Three Wooden Lanterns With Traditional Cross Section","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Set Of Three Wooden Lanterns With Traditional Cross Section","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Set Of Three Wooden Lanterns With Archway Design","Filler phrases: seamlessly, perfect for, any space, your space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Set Of Three Wooden Lanterns With Archway Design","2 FAQs answer nothing (e.g. ""How long do the lanterns burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Set Of Three Wooden Lanterns With Archway Design","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Set Of Three Wooden Lanterns With Archway Design","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Silver Heart Skeleton Wall Clock","Filler phrases: elevate your, perfect for, statement piece","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Silver Heart Skeleton Wall Clock","3 FAQs answer nothing (e.g. ""Does the clock take a battery or have a socket?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Silver Heart Skeleton Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Silver Heart Skeleton Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Hill Interiors","Large Silver Skeleton Wall Clock","2 FAQs answer nothing (e.g. ""Does the clock use a battery?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Large Silver Skeleton Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Large Silver Skeleton Wall Clock","Loss-making: sells at £49, costs £58.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Large Silver Skeleton Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,major,draft,"Hill Interiors","Medium Conran Vase","Only 1 concrete fact across 441 words.","Tier 3 — write from sourceUrl"
WRITING,major,draft,"Hill Interiors","Medium Conran Vase","7 filler phrases: seamlessly, timeless elegance, perfect for, designed to enhance, statement piece…","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Medium Conran Vase","4 FAQs answer nothing (e.g. ""What materials is the Medium Conran Vase made of?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Medium Conran Vase","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Medium Conran Vase","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,major,draft,"Hill Interiors","Medium Conran Vase","Quotes “the supplier” rather than stating the fact as Kaiku's own.","Tier 2 — restate as Kaiku's own knowledge"
WRITING,minor,draft,"Hill Interiors","Large Silver Foil Skeleton Wall Clock","Filler phrases: seamlessly, statement piece, any space, focal point in any","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Large Silver Foil Skeleton Wall Clock","2 FAQs answer nothing (e.g. ""Does the clock require a battery?"").","fix-catalogue-tier1.ts --apply"
