price,keep,marginPct,ebayPermitted,carriageKnown,photos,supplier,category,title,slug
69.00,59.02,85.5,no,NO,4,"Aosom",lighting,"Geometric Mesh LED Wall Lights, Set of 2, Gold",led-wall-lamp-2-pack-9w-modern-indoor-geometric-mesh-wall-light-colour-temperature-adjusta
19.00,13.46,70.9,no,yes,4,"AW Dropship",mirrors,"Soft Squiggly Mirror – Flower – Stone (25.4x25.4x2.3cm)",soft-squiggly-mirror-flower-stone-25-4x25-4x2-3cm
19.00,13.46,70.9,no,NO,4,"AW Dropship",mirrors,"Soft Squiggly Mirror – Flame – Marigold (23x27.5x2.3cm)",soft-squiggly-mirror-flame-marigold-23x27-5x2-3cm
19.00,12.21,64.3,no,NO,4,"AW Dropship",mirrors,"Soft Squiggly Mirror – Star – Mauve (33x31x2.3cm)",soft-squiggly-mirror-star-mauve-33x31x2-3cm
19.00,12.21,64.3,no,yes,4,"AW Dropship",mirrors,"Soft Squiggly Mirror – Chunky Frame – Royal Blue (30.5x22.5x2.3cm)",soft-squiggly-mirror-chunky-frame-royal-blue-30-5x22-5x2-3cm
19.00,12.21,64.3,no,NO,4,"AW Dropship",mirrors,"Soft Squiggly Mirror - Large Cloud - Moss Green (33.4x23.5x2.3cm)",soft-squiggly-mirror-large-cloud-moss-green-33-4x23-5x2-3cm
79.00,50.33,63.7,no,NO,4,"Aosom",desks,"Compact Computer Desk with Keyboard Tray, Grey",compact-computer-desk-with-keyboard-tray-and-drawer-study-desk-writing-desk-for-home-offic
43.00,27.32,63.5,no,NO,3,"AW Dropship",water-features,"Tabletop Water Feature - Cascading Rock Formation",tabletop-water-feature-18cm-cascading-rock-formation
89.00,55.63,62.5,no,NO,4,"Aosom",desks,"Compact Folding Desk with Storage Shelf, Rustic Brown",compact-folding-desk-for-small-spaces-with-storage-shelf-for-home-office-rustic-brown
43.00,26.34,61.2,no,NO,1,"Premier Housewares",wall-clocks,"Tortora Red Glass and Black Numbers Wall Clock",tortora-red-glass-and-black-numbers-wall-clock
89.00,53.23,59.8,no,NO,4,"Aosom",beds,"3ft Single Bed Frame with Headboard and Footboard, Black",3ft-single-bed-frame-with-headboard-and-footboard-metal-platform-bed-frame-with-32-cm-unde
32.00,19.13,59.8,no,NO,3,"Premier Housewares",wall-clocks,"Elko Pink Finish Embossed Effect Wall Clock",elko-16cm-dia-pink-finish-embossed-effect-wall-clock
31.00,18.26,58.9,no,NO,4,"AW Dropship",wellness-accessories,"Himalayan Salt Cooking Plate - Round - 20x20x5cm",himalayan-salt-cooking-plate-round-20x20x5cm
31.00,18.26,58.9,no,NO,4,"AW Dropship",wellness-accessories,"Himalayan Salt Cooking Plate - Square - 20x20x5cm",himalayan-salt-cooking-plate-square-20x20x5cm
59.00,34.48,58.4,no,NO,5,"Aosom",garden-lighting,"1.6m Dimmable Solar Bollard Light, Black",outdoor-garden-solar-post-lamp-sensor-dimmable-led-lantern-bollard-pathway-1-6m-tall-black
56.25,31.77,56.5,no,NO,4,"Aosom",garden-lighting,"1.6m Dimmable Solar Bollard Lights, Set of 2, Black",2-pieces-outdoor-garden-solar-post-lamp-sensor-dimmable-led-lantern-bollard-pathway-1-6m-t
49.00,27.61,56.3,no,NO,8,"Premier Housewares",mirrors,"Cassini Tri Fold Illuminated Pink LED Table Mirror",cassini-tri-fold-illuminated-pink-led-table-mirror
49.00,27.61,56.3,no,NO,8,"Premier Housewares",mirrors,"Cassini Tri Fold Black LED Table Mirror",cassini-tri-fold-black-led-table-mirror
