_costPrice,_carriage,_carriageKnown,_profit,_marginPct,_supplier,_supplierSku,_marketplacePermitted,_stockQty,_photoCount,Title,Description,KaikuCategory,eBayCategoryID,ConditionID,StartPrice,Quantity,Format,Duration,Location,PostalCode,HandlingTimeDays,CustomLabel,EAN,MPN,C:Brand,C:Colour,C:Material,C:Room,C:Style,C:Length,C:Width,C:Height,C:Unit,C:Weight,PicURLs
8.75,,NO — margin overstated,59.02,85.5,"Aosom","B31-565V00GD",NOT PERMITTED — ask supplier,,4,"Geometric Mesh LED Wall Lights, Set of 2, Gold 46x15cm","<p>This 2-pack of wall lamps features a modern geometric design in a gold tone, fitting seamlessly into any interior aesthetic. Crafted from durable metal and acrylic, each lamp measures 45.6 cm in height and can enhance your living space, whether in a bedroom, hallway, or living room. Enjoy versatile lighting with adjustable colour temperatures of 3000K, 4000K, and 6500K, enabling you to set the mood perfectly for any occasion. These lamps require wall mounting and are hard-wired for installation, ensuring a clean look in your home. The included instruction manual provides guidance on proper installation. With no assembly required, you can effortlessly incorporate these lamps into your décor, creating an inviting atmosphere in your home. Suitable for indoor use only, these lamps provide a luminescent brightness of 330 lumens and embody a unique irregular shape that adds artistic flair to your walls.</p><ul><li>Dimensions: 45.6 x 15 x 14 cm</li><li>Weight: 1.4kg</li><li>Colour: Gold</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",lighting,FILL,1000,69.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-LT-GEOMETRIC-001",,,"Kaiku","Gold","","","Modern",45.6,15,14,cm,1.4kg,"https://cdn.sanity.io/images/huh1e45n/production/6f061df8851d9176a9b5596a299d9981795ee48b-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/e7bafa413aae76a21fec289394e23a05d1b16c2e-800x800.jpg | https://cdn.sanity.io/images/huh1e45n/production/86e613689b1789d1d09edce9c7bb065f99201621-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/b6532c9b45b457b65eb9467d3d115014aa34170a-2000x2000.jpg"
5.05,0.00,yes,13.46,70.9,"AW Dropship","SSM-06",NOT PERMITTED — ask supplier,197,4,"Soft Squiggly Mirror – Flower – Stone (25.4x25.4x2.3cm) 25x25cm","<p>A small handcrafted flower-shaped mirror in a stone tone, made from reclaimed materials. 25.4 x 25.4 x 2.3cm, 0.49kg. Each piece is unique.</p><ul><li>Dimensions: 25.4 x 25.4 x 2.3 cm</li><li>Weight: 0.486kg</li><li>Material: Stone</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",mirrors,FILL,1000,19.00,5,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-MIR-SOFT-003",5056368361548,,"Kaiku","","Stone","","Artisan",25.4,25.4,2.3,cm,0.486kg,"https://cdn.sanity.io/images/huh1e45n/production/47882f47596eb0aff09e1d45730d7080a9c3e18a-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/e448b8eda7fd9b604264a05e7d501e3e4608571d-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/3df06bc3be2b4f9d75e9eb0be7283c6170589182-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/aa7ffc2831ec79e49ff8cf1570d20c0f6e895fd9-2000x2000.jpg"
5.05,,NO — margin overstated,13.46,70.9,"AW Dropship","SSM-07",NOT PERMITTED — ask supplier,197,4,"Soft Squiggly Mirror – Flame – Marigold (23x27.5x2.3cm) 23x28cm","<p>Introducing the Soft Squiggly Mirror in Flame Marigold, a charming handcrafted piece that adds warmth and character to any room. Sustainably made, this mirror radiates a unique flair, offering both function and artistic expression for your home.</p><ul><li>Dimensions: 23 x 27.5 x 2.3 cm</li><li>Weight: 0.408kg</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",mirrors,FILL,1000,19.00,5,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-MIR-SOFT-004",5056368361555,,"Kaiku","","","","Modern",23,27.5,2.3,cm,0.408kg,"https://cdn.sanity.io/images/huh1e45n/production/b8138ffac4de0d0e68d66581b085635446d1f415-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/23bf2590c3f8fd446e2d5785e802c258c325592d-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/26a6f06b0d38c3815709f7d737371bcb18995f2b-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/05ef56663f0a940bef6edddf0195d99906d120f5-2000x2000.jpg"
6.30,,NO — margin overstated,12.21,64.3,"AW Dropship","SSM-03",NOT PERMITTED — ask supplier,207,4,"Soft Squiggly Mirror – Star – Mauve (33x31x2.3cm) 33x231cm","<p>A handcrafted star-shaped mirror with a mauve squiggly frame, 33 x 31 x 2.3cm and 0.658kg.</p><ul><li>Dimensions: 33 x 231 x 2.3 cm</li><li>Weight: 0.658kg</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",mirrors,FILL,1000,19.00,5,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-MIR-SOFT-001",5056368361517,,"Kaiku","","","","Eclectic",33,231,2.3,cm,0.658kg,"https://cdn.sanity.io/images/huh1e45n/production/bb6052f97e898de19262b12c7280b1c486363fc6-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/bf62e5d03dbd87a25926bbb0d483ca4645470dd5-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/a4460879b2ca0d67845ccf1073fe6efb9b157621-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/7c84153c4dd027f14b87afd59ef5097e1bd66331-2000x2000.jpg"
6.30,0.00,yes,12.21,64.3,"AW Dropship","SSM-05",NOT PERMITTED — ask supplier,194,4,"Soft Squiggly Mirror – Chunky Frame – Royal Blue (30.5x22.5x2.3cm) 31x23cm","<p>A handcrafted mirror with a royal blue chunky squiggly frame, 30.5 x 22.5 x 2.3cm and 0.58kg.</p><ul><li>Dimensions: 30.5 x 22.5 x 2.3 cm</li><li>Weight: 0.58kg</li><li>Colour: Blue</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",mirrors,FILL,1000,19.00,5,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-MIR-SOFT-002",5056368361531,,"Kaiku","Blue","","","Artistic",30.5,22.5,2.3,cm,0.58kg,"https://cdn.sanity.io/images/huh1e45n/production/557b5fd926fd91e3998bdeb05da545d2c0cad79b-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/908b4c8be099acb761232405d19cff08b4a7ae81-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/a941a9760c3273b261f901c87b928210ed223f97-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/f5f5b709064e1dd135b311e7e29745ab8f0c9181-2000x2000.jpg"
6.30,,NO — margin overstated,12.21,64.3,"AW Dropship","SSM-08",NOT PERMITTED — ask supplier,189,4,"Soft Squiggly Mirror - Large Cloud - Moss Green (33.4x23.5x2.3cm) 33x24cm","<p>The Soft Squiggly Mirror captures a whimsical charm, crafted with eco-friendly materials.</p><ul><li>Dimensions: 33.4 x 23.5 x 2.3 cm</li><li>Weight: 0.636kg</li><li>Colour: Green</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",mirrors,FILL,1000,19.00,5,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-MIR-SOFT-005",5056368361562,,"Kaiku","Green","","","Artistic",33.4,23.5,2.3,cm,0.636kg,"https://cdn.sanity.io/images/huh1e45n/production/6f7af3f3444449bd6af49b3ef48b13ee7c56da27-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/70b09710b40c8c1392dd7aec09899a6c23da140c-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/bf74714d478d283ee265b270f855cb95dbb4d666-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/652b54fb6d164eeea1f305ae30a4c0adeed19de1-2000x2000.jpg"
27.29,,NO — margin overstated,50.33,63.7,"Aosom","836-410V00GY",NOT PERMITTED — ask supplier,,4,"Compact Computer Desk with Keyboard Tray, Grey 80x45cm","<p>A compact grey computer desk with a keyboard tray and drawer, made from E1 grade particle board with a melamine finish. 80 x 45 x 75cm, weight capacity 50kg.</p><ul><li>Dimensions: 80 x 45 x 75 cm</li><li>Weight: 50kg</li><li>Colour: Grey</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",desks,FILL,1000,79.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-DESK-COMPACT-001",,,"Kaiku","Grey","","","Modern",80,45,75,cm,50kg,"https://cdn.sanity.io/images/huh1e45n/production/dcc9b60b6b9b84506033551043988b7e0c5c2405-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/88f8d17e6f68558ac26f15d341fdd51a1e935624-800x800.jpg | https://cdn.sanity.io/images/huh1e45n/production/9ddf52fec22dfe6f329f93e845635f11b057aee8-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/ed75701fcdec3234487ddc661b7e14a2abc29d8e-2000x2000.jpg"
14.84,,NO — margin overstated,27.32,63.5,"AW Dropship","WaterF-05",NOT PERMITTED — ask supplier,28,3,"Tabletop Water Feature - Cascading Rock Formation 18x13cm","<p>A tabletop water feature in a cascading rock formation, 18 x 13 x 13cm and 0.8kg. Includes a pump — keep it submerged, top the water up regularly, and clear debris from the basin periodically.</p><ul><li>Dimensions: 18 x 13 x 13 cm</li><li>Weight: 0.8kg</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",water-features,FILL,1000,43.00,5,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-WATR-TABLETOP-006",5056368321337,,"Kaiku","","","","Rustic",18,13,13,cm,0.8kg,"https://cdn.sanity.io/images/huh1e45n/production/0192b62d7dc64ce796fb5c650082bdeb38a17259-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/4cc89ff290300df2e86710199e7e3dfa8242d920-1083x753.jpg | https://cdn.sanity.io/images/huh1e45n/production/f9c2a87cad0c70e2372ff68b8ade1322fbb49c56-2000x2000.jpg"
31.84,,NO — margin overstated,55.63,62.5,"Aosom","836-580V00RB",NOT PERMITTED — ask supplier,,4,"Compact Folding Desk with Storage Shelf, Rustic Brown 86x66cm","<p>A folding desk in rustic brown, built from particleboard on a steel frame with a maple wood-effect top, folding flat to 4.5cm. 86 x 66 x 82cm, weight capacity 20kg.</p><ul><li>Dimensions: 86 x 66 x 82 cm</li><li>Weight: 20kg</li><li>Colour: Brown</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",desks,FILL,1000,89.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,3,"KK-DESK-COMPACT-002",,,"Kaiku","Brown","","","Modern",86,66,82,cm,20kg,"https://cdn.sanity.io/images/huh1e45n/production/9e927ebfe350591ca2546fc29e30a216d6d1c54b-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/7fa039aebd3445d9b7b0a9ccc46b27bdd4bb7943-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/e667afc3e17ae5bd1b66c12934b62dd5d36d4577-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/ee1f67eae217519da612700374239684fce01600-2000x2000.jpg"
15.82,,NO — margin overstated,26.34,61.2,"Premier Housewares","2200662",NOT PERMITTED — ask supplier,,1,"Tortora Red Glass and Black Numbers Wall Clock 31x5cm","<p>The Tortora Red Glass and Black Numbers Wall Clock is a modern addition to your decor, featuring a vivid red glass face and bold black numbers.</p><ul><li>Dimensions: 31 x 5 x 31 cm</li><li>Material: Glass</li><li>Colour: Black</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",wall-clocks,FILL,1000,43.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-CLK-TORTORA-001",5018705751719,,"Kaiku","Black","Glass","","Modern",31,5,31,cm,,"https://cdn.sanity.io/images/huh1e45n/production/36c52122cf98d28761703297cc9e09098d8375b2-1280x1280.jpg"
